evidence_id,objective_id,category,gate_name,required_measurement_or_artifact,pass_criterion,evidence_path,responsible_step,issue_url,dependencies,status,failure_action,owner_decision_required,notes
E001,O0.1,governance,Stage 0 scope,"Authoritative permitted scope, prohibited work, thresholds and decision outcomes","Scope charter is present and Stage 1 is explicitly blocked",docs/stage0/STAGE0_SCOPE.md,0.1,https://github.com/Lukeyone/geoprospect/issues/1,None,complete,"Restore or correct scope controls before further work",no,"Initial copper-cobalt and north-west Queensland scope is provisional"
E002,O0.1,governance,Stage 1 block,"Visible later-stage withholding notice","No Stage 1 or later work is authorised without a documented GO",docs/stage0/STAGE1_BLOCKED.md,0.1,https://github.com/Lukeyone/geoprospect/issues/1,E001,complete,"Stop later-stage activity and restore the block",no,"Block remains active until Step 0.26"
E003,O0.1,governance,Evidence traceability,"Register of objectives, gates, measurements, evidence paths, issues, dependencies and failure actions","Every mandatory gate has a named threshold, evidence path, responsible step and failure action",docs/stage0/evidence_register.csv,0.2,https://github.com/Lukeyone/geoprospect/issues/4,E001;E002,complete,"Do not continue until missing evidence rows are added",no,"Statuses are updated as evidence is produced"
E004,O0.1,architecture,Repository architecture,"Responsibilities and publication boundaries for the three repositories","Repository roles and raw-data/model restrictions are unambiguous",docs/decisions/ADR-002-repository-and-publication-architecture.md,0.3,https://github.com/Lukeyone/geoprospect/issues/5,E003,complete,"Resolve repository ambiguity before bootstrap expands",no,"Architecture accepted in ADR-002; owner input required only for a material future change"
E005,O0.1,reproducibility,Python environment,"Python 3.12 uv project, lockfile, package layout and import check","Clean checkout runs uv sync and imports the package",pyproject.toml;uv.lock;src/geoprospect/;docs/stage0/ENVIRONMENT_SETUP.md;tests/test_bootstrap.py,0.4,https://github.com/Lukeyone/geoprospect/issues/6,E004,complete,"Repair environment or dependency constraints",no,"Lockfile, package import, CLI and two bootstrap tests validated with uv 0.10.0"
E006,O0.1,quality,CI and security,"Formatting, linting, typing, tests, pre-commit, secret scanning and contribution controls","All configured checks pass and no credentials or large raw data are committed",.github/workflows/ci.yml;.pre-commit-config.yaml;SECURITY.md;CONTRIBUTING.md;CITATION.cff;.github/PULL_REQUEST_TEMPLATE.md;src/geoprospect/secret_scan.py;tests/test_security_controls.py,0.5,https://github.com/Lukeyone/geoprospect/issues/7,E005,complete,"Fix checks or block merge",no,"CI run 30780756416 passed Python 3.12/3.13 quality checks, pre-commit, secret scanning, private-key detection and the added-file size limit"
E007,O0.1,contracts,Stage 0 data contracts,"Validated schemas for manifests, occurrences, snapshots, mappings, sites, regions, cells, blocks, coverage and gates","Every required evidence type has a representative validated schema and tests",src/geoprospect/stage0/contracts/;tests/stage0/,0.6,https://github.com/Lukeyone/geoprospect/issues/8,E006,planned,"Add missing schema or block dependent work",no,"Contracts may evolve through reviewed changes"
E008,O0.2,sources,Mineral-occurrence source,"Current official endpoint, layer/product identifier, fields, update metadata, CRS, format and extent","Validated authoritative occurrence pathway exists",configs/sources/mineral_occurrences.yaml,0.7,https://github.com/Lukeyone/geoprospect/issues/9,E007,planned,"Find alternate official source or trigger SWITCH/STOP",yes,"External source must be verified at execution time"
E009,O0.2,sources,Detailed-geology source,"Current regional geology product, scale, interpretation type, CRS, access method and extent","Validated authoritative geology pathway exists",configs/sources/geology.yaml,0.7,https://github.com/Lukeyone/geoprospect/issues/9,E007,planned,"Find alternate source, constrain boundary or SWITCH",yes,"Coverage is measured later"
E010,O0.2,sources,Structures source,"Current fault/fold layer, taxonomy, geometry type, CRS, licence and extent","Validated structures pathway exists or limitation is explicitly recorded",configs/sources/structures.yaml,0.7,https://github.com/Lukeyone/geoprospect/issues/9,E007,planned,"Use alternate source or document non-blocking limitation",no,"Structures are required context but have no standalone numeric gate"
E011,O0.2,sources,Magnetics source,"Current grid/survey product, extent, nominal/effective resolution, nodata and access method","Validated authoritative magnetic pathway exists",configs/sources/magnetics.yaml,0.7,https://github.com/Lukeyone/geoprospect/issues/9,E007,planned,"Acquire alternate grid or constrain/switch boundary",yes,"Coverage is measured after masking"
E012,O0.2,sources,Gravity source,"Current grid/survey product, extent, station/survey context, resolution, nodata and access method","Validated authoritative gravity pathway exists",configs/sources/gravity.yaml,0.7,https://github.com/Lukeyone/geoprospect/issues/9,E007,planned,"Acquire alternate grid or constrain/switch boundary",yes,"Coverage is measured after masking"
E013,O0.2,licensing,Licensing and attribution,"Licence, attribution, raw redistribution, derived-output and restriction classification for every source","All inputs have a compliant code/manifest/derived-output publication pathway",docs/decisions/ADR-003-data-provenance-policy.md;configs/sources/,0.8,https://github.com/Lukeyone/geoprospect/issues/10,E008;E009;E010;E011;E012,planned,"Restrict publication, replace source or fail candidate",yes,"Unresolved material licensing risk blocks GO"
E014,O0.3,acquisition,Occurrence acquisition design,"Pagination, limits, count query, retries, content type and silent-truncation controls","Method can retrieve all relevant records and detect incomplete acquisition",configs/stage0.yaml;src/geoprospect/stage0/acquisition/;tests/stage0/,0.9,https://github.com/Lukeyone/geoprospect/issues/11,E008;E013,planned,"Correct acquisition design or change source",no,"No full acquisition until design tests pass"
E015,O0.3,occurrence,Occurrence snapshot,"Raw snapshot, manifest, retrieval metadata, SHA-256, working GeoParquet and reconciled row count","Snapshot is independently identifiable; source counts reconcile where supported; original values are preserved",data_manifest_or_approved_external_path;reports/stage0/occurrence_snapshot_manifest.yaml,0.10,https://github.com/Lukeyone/geoprospect/issues/12,E014,planned,"Reacquire without truncation or switch source",no,"Raw redistribution depends on E013"
E016,O0.3,occurrence,Occurrence quality profile,"Rows, valid/invalid geometries, coordinate quality, field nulls, statuses, types, commodity values and suspicious clusters","All gate-relevant quality limitations are quantified",reports/stage0/occurrence_profile/;reports/stage0/occurrence_quality_summary.csv,0.11,https://github.com/Lukeyone/geoprospect/issues/13,E015,planned,"Repair parsing, exclude unusable records or fail label-quality gate",no,"No assumptions may replace measured null/error rates"
E017,O0.4,commodity,Commodity alias mapping,"Versioned token mapping, rationale, unknown tokens and manual-review queue","Every observed token is mapped, excluded or explicitly unresolved",configs/commodities/commodity_aliases.yaml;reports/stage0/unknown_commodity_tokens.csv,0.12,https://github.com/Lukeyone/geoprospect/issues/14,E016,planned,"Review ambiguous tokens or abandon affected definition",yes,"Do not guess historical abbreviations"
